first_name,last_name,age,countries,colors,sonic_characters,points
Jaydan,Mcclure,18,England,Red,Ray,296
Hayden,French,13,Nigeria,Yellow,Knuckles,2739
Bruno,French,23,Jamaica,Orange,Tails,1427
Aydin,Bird,24,Nigeria,Blue,Sonic,2620
Marcelo,Waller,22,England,Green,Sonic,1299
Bradley,French,20,Belgium,Red,Knuckles,1515
Emmett,Bird,20,England,Blue,Metal Sonic,1051
Brennen,Madden,12,England,Orange,Tails,1661
Prince,Bird,21,Jamaica,Green,Metal Sonic,1584
Scott,Hudson,16,Belgium,Orange,Tails,1066
Jaydan,Hudson,17,Jamaica,Yellow,Tails,2045
Eliezer,Mcclure,14,Jamaica,Orange,Sonic,2176
Emmett,French,22,England,Orange,Ray,978
Robert,Reeves,12,Nigeria,Yellow,Ray,2735
Jaydan,French,15,Belgium,Blue,Ray,1704
Cesar,Howe,16,Jamaica,Blue,Metal Sonic,2880
Quincy,Reeves,12,Belgium,Yellow,Ray,1749
Bradley,Hudson,12,England,Blue,Ray,1155
Marcel,Bird,16,Jamaica,Yellow,Tails,2094
Emmett,Howe,13,Jamaica,Yellow,Knuckles,350
Cesar,Howe,15,Russia,Yellow,Metal Sonic,2118
Brennen,Bird,20,Russia,Blue,Tails,2247
Neil,Howe,18,Russia,Red,Metal Sonic,368
Brennen,Madden,12,Russia,Orange,Knuckles,1654
Hayden,Madden,17,Nigeria,Blue,Knuckles,749
Chaim,Madden,18,Belgium,Blue,Knuckles,593
Khalil,Chen,17,Russia,Green,Ray,383
Khalil,Waller,14,Russia,Yellow,Metal Sonic,385
Neil,Mcclure,23,Russia,Blue,Sonic,2843
Neil,Chen,17,Russia,Green,Knuckles,2564
Chaim,Hudson,11,Belgium,Orange,Sonic,2025
Hayden,Chen,24,Belgium,Orange,Sonic,2256
Bradley,Bird,14,England,Blue,Ray,2787
Aydin,French,11,Belgium,Blue,Metal Sonic,2730
Bruno,Mcclure,17,Belgium,Green,Ray,1073
Brennen,Madden,15,Jamaica,Green,Metal Sonic,1658
Quincy,Bird,18,England,Yellow,Knuckles,1596
Bruno,Hudson,17,Jamaica,Yellow,Tails,2204
Khalil,Hudson,21,Jamaica,Blue,Metal Sonic,2890
Brennen,Mcclure,16,England,Yellow,Ray,2964
Chaim,Howe,13,England,Green,Knuckles,1980
Bradley,Bird,16,Belgium,Orange,Metal Sonic,2740
Aydin,Chen,23,England,Red,Metal Sonic,662
Cesar,Mcclure,24,Russia,Red,Knuckles,2490
Chaim,Moyer,15,Belgium,Blue,Knuckles,862
Bradley,Mcclure,23,Jamaica,Orange,Metal Sonic,817
Neil,Bird,24,Nigeria,Blue,Sonic,823
Scott,Mcclure,14,England,Orange,Metal Sonic,2294
Eliezer,Hudson,19,Belgium,Blue,Ray,1268
Quincy,Hudson,16,Jamaica,Red,Knuckles,2038
Marcelo,Reeves,21,Jamaica,Red,Metal Sonic,1522
Neil,Hudson,14,Nigeria,Red,Metal Sonic,44
Aydin,French,16,England,Yellow,Metal Sonic,939
Brennen,Bird,14,Russia,Yellow,Metal Sonic,633
Neil,Waller,13,Jamaica,Red,Ray,555
Marcel,Mcclure,20,Russia,Red,Sonic,1276
Jace,Mcclure,21,Belgium,Yellow,Ray,2726
Aydin,Waller,19,Jamaica,Orange,Knuckles,2009
Neil,Hudson,22,Nigeria,Green,Metal Sonic,2896
Brennen,Mcclure,24,Nigeria,Green,Metal Sonic,998
Marcelo,Reeves,20,England,Blue,Metal Sonic,1660
Bruno,Bird,23,Russia,Orange,Ray,2397
Brennen,Mcclure,11,Jamaica,Red,Sonic,2133
Scott,Howe,23,Jamaica,Yellow,Tails,229
Quincy,Moyer,20,Belgium,Orange,Ray,782
Bradley,Madden,16,England,Orange,Knuckles,121
Jaydan,Reeves,16,Jamaica,Blue,Metal Sonic,708
Brody,Moyer,11,Russia,Yellow,Tails,2925
Chaim,Howe,15,Russia,Yellow,Ray,564
Eliezer,Chen,23,England,Orange,Knuckles,2089
Khalil,Bird,17,England,Blue,Sonic,7
Bradley,Moyer,20,Russia,Red,Tails,645
Emmett,French,14,Jamaica,Green,Ray,825
Cesar,Madden,16,England,Green,Knuckles,1357
Aydin,French,11,Belgium,Orange,Metal Sonic,548
Quincy,Bird,12,England,Yellow,Tails,587
Brennen,French,23,Belgium,Blue,Metal Sonic,567
Hayden,Howe,22,England,Yellow,Knuckles,2980
Prince,Moyer,20,Russia,Green,Sonic,1292
Cesar,Hudson,17,Russia,Blue,Tails,218
Brennen,Reeves,19,Nigeria,Red,Tails,1280
Robert,Hudson,24,Jamaica,Red,Sonic,871
Prince,Waller,20,Belgium,Yellow,Sonic,2016
Marcelo,Chen,19,Nigeria,Blue,Metal Sonic,1605
Jaydan,Mcclure,21,Nigeria,Blue,Ray,284
Neil,Hudson,24,Nigeria,Orange,Ray,2123
Cesar,Madden,23,Russia,Red,Sonic,1384
Brody,Reeves,16,Russia,Red,Ray,1292
Quincy,French,14,Russia,Red,Ray,2488
Scott,Howe,23,Nigeria,Green,Metal Sonic,2698
Jaydan,Chen,16,Belgium,Yellow,Tails,354
Brody,Bird,22,Russia,Blue,Metal Sonic,1455
Brody,Moyer,20,England,Yellow,Metal Sonic,1231
Eliezer,Chen,12,England,Orange,Sonic,735
Neil,Reeves,19,Russia,Yellow,Ray,1685
Jace,Moyer,16,Russia,Green,Metal Sonic,266
Neil,Mcclure,11,Russia,Red,Ray,1655
Brody,Howe,15,Jamaica,Red,Metal Sonic,2136
Quincy,Mcclure,16,Nigeria,Green,Sonic,2398
Bradley,Hudson,22,Jamaica,Yellow,Knuckles,2829
Scott,French,21,Nigeria,Red,Ray,604
Jace,French,16,Nigeria,Yellow,Sonic,1121
Marcelo,Moyer,19,England,Red,Metal Sonic,1180
Cesar,French,13,Russia,Yellow,Ray,1164
Marcelo,Waller,14,Belgium,Orange,Metal Sonic,2875
Marcel,Howe,14,Nigeria,Red,Ray,1776
Marcelo,Moyer,16,Nigeria,Green,Knuckles,2579
Eliezer,Hudson,16,Belgium,Blue,Tails,1990
Brody,Madden,16,Belgium,Red,Knuckles,713
Cesar,Chen,23,Nigeria,Green,Sonic,490
Khalil,Chen,20,Nigeria,Yellow,Knuckles,976
Marcel,Howe,15,Nigeria,Blue,Metal Sonic,2335
Marcelo,Mcclure,11,England,Green,Metal Sonic,1241
Eliezer,Hudson,18,Russia,Green,Ray,1835
Marcelo,Moyer,22,England,Blue,Sonic,1716
Jaydan,Hudson,24,Jamaica,Blue,Sonic,1111
Chaim,Hudson,15,Russia,Green,Metal Sonic,1988
Brennen,Moyer,18,England,Green,Sonic,220
Jace,French,15,Jamaica,Yellow,Sonic,1705
Bruno,Howe,24,Belgium,Red,Tails,2060
Khalil,Hudson,17,Nigeria,Red,Sonic,208
Bruno,Hudson,24,Nigeria,Red,Knuckles,885
Bruno,Reeves,21,Russia,Green,Ray,1578
Chaim,Hudson,12,Belgium,Orange,Metal Sonic,301
Jace,French,18,England,Red,Metal Sonic,1165
Bruno,Chen,24,Belgium,Yellow,Metal Sonic,425
Hayden,Chen,15,England,Yellow,Ray,2014
Cesar,Bird,16,Jamaica,Orange,Metal Sonic,715
Chaim,Chen,23,Nigeria,Green,Ray,1580
Aydin,Moyer,18,England,Green,Sonic,2526
Khalil,French,24,Russia,Orange,Ray,1604
Quincy,Mcclure,16,Belgium,Green,Ray,2713
Cesar,Madden,18,Belgium,Green,Sonic,2072
Brennen,Mcclure,17,Belgium,Orange,Ray,2724
Bruno,Chen,17,England,Red,Sonic,609
Jaydan,Chen,21,Belgium,Blue,Metal Sonic,672
Chaim,Mcclure,20,Nigeria,Green,Tails,1373
Khalil,Howe,17,England,Orange,Metal Sonic,1568
Hayden,Bird,21,Russia,Red,Tails,95
Bradley,Reeves,15,Jamaica,Yellow,Ray,2077
Bradley,Hudson,15,Jamaica,Yellow,Sonic,2245
Marcel,Moyer,17,Nigeria,Yellow,Sonic,2667
Khalil,Hudson,17,Russia,Green,Sonic,2362
Bradley,Moyer,24,Jamaica,Green,Sonic,655
Cesar,Chen,20,Jamaica,Red,Tails,2923
Jaydan,Moyer,24,Belgium,Orange,Metal Sonic,823
Cesar,Reeves,11,Jamaica,Yellow,Metal Sonic,1937
Jace,Madden,24,Nigeria,Orange,Tails,1803
Hayden,Madden,23,Russia,Green,Tails,2490
Aydin,Reeves,24,Russia,Orange,Ray,765
Aydin,Howe,21,Jamaica,Blue,Knuckles,14
Hayden,Chen,12,Belgium,Red,Metal Sonic,337
Neil,Bird,20,Russia,Green,Sonic,800
Quincy,Howe,23,Jamaica,Blue,Knuckles,0
Cesar,Hudson,17,Russia,Red,Tails,461
Brody,French,13,England,Green,Metal Sonic,2649
Bruno,Mcclure,16,Russia,Yellow,Knuckles,1101
Marcelo,Howe,11,Nigeria,Red,Metal Sonic,1789
Emmett,Reeves,22,England,Blue,Knuckles,367
Brennen,French,11,England,Blue,Knuckles,2321
Chaim,Moyer,19,Russia,Red,Metal Sonic,1911
Neil,Mcclure,19,England,Blue,Sonic,2887
Aydin,Bird,15,Belgium,Blue,Tails,2982
Bruno,Madden,17,Russia,Orange,Metal Sonic,498
Robert,Madden,21,Nigeria,Green,Ray,1032
Bradley,Reeves,20,Belgium,Blue,Tails,1165
Marcelo,Mcclure,11,England,Green,Knuckles,2963
Brennen,Waller,14,Russia,Blue,Tails,815
Jace,Hudson,21,Nigeria,Yellow,Ray,1337
Bradley,Chen,20,Russia,Orange,Metal Sonic,628
Eliezer,Moyer,23,England,Red,Tails,2765
Bruno,Waller,15,Nigeria,Red,Metal Sonic,1829
Chaim,Mcclure,15,Jamaica,Yellow,Tails,1821
Jaydan,Madden,11,England,Green,Knuckles,883
Emmett,Waller,24,England,Red,Tails,1504
Jaydan,Reeves,24,Jamaica,Blue,Tails,2864
Jace,Waller,16,England,Red,Metal Sonic,1891
Eliezer,French,14,England,Yellow,Ray,2971
Emmett,Reeves,24,Jamaica,Orange,Tails,2067
Quincy,Reeves,16,Jamaica,Red,Ray,1583
Cesar,Chen,15,Nigeria,Blue,Knuckles,1182
Jaydan,Moyer,24,Belgium,Yellow,Metal Sonic,2506
Jace,Howe,24,Belgium,Orange,Sonic,2068
Marcelo,Moyer,24,Belgium,Green,Ray,2911
Brennen,Madden,22,Jamaica,Green,Metal Sonic,2215
Neil,Chen,23,Nigeria,Red,Metal Sonic,2065
Emmett,Waller,13,England,Green,Ray,1643
Robert,French,23,Russia,Blue,Tails,1220
Bruno,Howe,14,Belgium,Orange,Ray,1583
Emmett,Bird,15,England,Orange,Knuckles,2908
Marcelo,Chen,11,Nigeria,Red,Metal Sonic,1059
Bruno,Moyer,15,Belgium,Red,Ray,52
Brody,Moyer,18,Belgium,Blue,Ray,1799
Brody,Hudson,17,Russia,Yellow,Knuckles,58
Hayden,French,13,Belgium,Orange,Metal Sonic,1465
Brody,Mcclure,20,Nigeria,Blue,Ray,2131
Scott,Mcclure,15,Russia,Yellow,Tails,2314
Brennen,Mcclure,16,Jamaica,Green,Sonic,2887
Prince,Mcclure,12,England,Orange,Tails,1656
Bruno,Reeves,23,Belgium,Blue,Metal Sonic,1769
Aydin,Reeves,20,England,Yellow,Tails,367
Emmett,Madden,12,Nigeria,Yellow,Ray,1508
Brody,Madden,16,Russia,Blue,Sonic,582
Marcel,Madden,15,England,Red,Sonic,139
Quincy,Hudson,19,Jamaica,Orange,Knuckles,2763
Bradley,Hudson,18,Belgium,Red,Knuckles,2433
Marcelo,Reeves,15,Jamaica,Red,Metal Sonic,2832
Brody,Bird,24,Jamaica,Green,Knuckles,230
Brody,Chen,15,Russia,Green,Tails,2320
Neil,Hudson,13,England,Red,Knuckles,1832
Jace,Moyer,23,Russia,Orange,Knuckles,2331
Eliezer,Madden,23,Russia,Red,Ray,1461
Brody,Bird,12,Nigeria,Red,Tails,258
Bradley,Waller,15,Belgium,Red,Metal Sonic,1437
Chaim,Moyer,16,England,Yellow,Ray,2896
Brennen,Mcclure,16,Jamaica,Orange,Knuckles,439
Marcelo,French,11,Jamaica,Yellow,Tails,1615
Marcel,Reeves,13,Russia,Red,Ray,1806
Quincy,French,11,England,Red,Sonic,248
Bruno,Bird,13,Belgium,Green,Metal Sonic,2961
Scott,Bird,15,Nigeria,Orange,Metal Sonic,1750
Bruno,Waller,21,England,Blue,Metal Sonic,1647
Jaydan,Moyer,11,Russia,Yellow,Knuckles,1798
Eliezer,Howe,18,Belgium,Blue,Knuckles,1136
Scott,Reeves,20,Jamaica,Blue,Tails,1910
Scott,Chen,14,Belgium,Yellow,Tails,222
Aydin,Chen,14,Belgium,Blue,Knuckles,2103
Eliezer,Waller,16,England,Orange,Sonic,921
Emmett,Madden,16,Belgium,Yellow,Sonic,812
Robert,Chen,11,Jamaica,Yellow,Ray,2604
Prince,Howe,23,Belgium,Blue,Ray,1896
Khalil,Moyer,11,Belgium,Red,Ray,1844
Cesar,Howe,14,Jamaica,Yellow,Ray,1478
Bruno,Mcclure,18,Nigeria,Red,Knuckles,2796
Khalil,Chen,20,Jamaica,Yellow,Sonic,2628
Bradley,Hudson,14,England,Orange,Tails,2215
Quincy,Mcclure,18,Jamaica,Red,Ray,1791
Khalil,Waller,19,Belgium,Blue,Sonic,112
Marcelo,Mcclure,23,England,Green,Tails,860
Eliezer,Hudson,22,Nigeria,Blue,Tails,1162
Scott,Hudson,21,Jamaica,Orange,Ray,1294
Eliezer,Howe,14,Belgium,Yellow,Sonic,77
Khalil,Madden,14,Jamaica,Orange,Tails,686
Brody,Reeves,20,Jamaica,Yellow,Ray,953
Hayden,Howe,23,Russia,Green,Ray,1101
Scott,Waller,19,Russia,Green,Metal Sonic,2796
Brody,Moyer,23,Jamaica,Red,Knuckles,2856
Brody,Mcclure,22,Russia,Orange,Knuckles,518
Quincy,Madden,13,England,Blue,Knuckles,2430
Bruno,Waller,15,Jamaica,Red,Metal Sonic,59
Neil,Hudson,24,Nigeria,Green,Metal Sonic,1717
Scott,Reeves,19,England,Red,Tails,1679
Marcelo,Madden,11,Jamaica,Red,Knuckles,2992
Marcelo,Waller,14,Nigeria,Orange,Tails,1048
Hayden,Mcclure,19,Russia,Yellow,Knuckles,655
Jace,Madden,12,Belgium,Blue,Metal Sonic,2086
Scott,Chen,23,Jamaica,Green,Tails,1497
Khalil,Mcclure,21,Belgium,Red,Knuckles,241
Khalil,Mcclure,12,England,Blue,Ray,2651
Robert,Hudson,13,Nigeria,Orange,Tails,1660
Neil,Bird,23,Jamaica,Red,Sonic,2477
Brody,Waller,11,Nigeria,Orange,Ray,2348
Neil,Reeves,22,Jamaica,Green,Tails,119
Scott,Howe,15,Nigeria,Green,Knuckles,1547
Emmett,Hudson,16,Belgium,Orange,Ray,2688
Jace,Mcclure,22,England,Blue,Knuckles,565
Robert,Madden,22,Jamaica,Yellow,Tails,520
Neil,Howe,13,Jamaica,Orange,Ray,1779
Emmett,French,20,England,Yellow,Tails,2685
Bradley,Madden,22,Russia,Yellow,Knuckles,682
Brennen,Hudson,21,Jamaica,Green,Ray,2438
Eliezer,French,16,Jamaica,Green,Metal Sonic,871
Aydin,Madden,22,Belgium,Blue,Sonic,1635
Quincy,Madden,19,Jamaica,Blue,Ray,1395
Aydin,Howe,20,Russia,Blue,Sonic,1753
Brennen,Waller,17,England,Red,Sonic,1381
Brennen,Chen,15,England,Green,Sonic,339
Neil,Hudson,18,Belgium,Blue,Tails,1162
Emmett,Mcclure,24,Jamaica,Yellow,Metal Sonic,1295
Quincy,Moyer,12,Russia,Yellow,Metal Sonic,2837
Jace,Reeves,19,Jamaica,Blue,Tails,247
Brennen,Waller,11,Belgium,Yellow,Metal Sonic,515
Jace,Reeves,13,Russia,Green,Ray,1483
Jace,Reeves,16,Russia,Blue,Metal Sonic,1760
Scott,French,20,Belgium,Blue,Ray,1911
Emmett,Mcclure,16,Jamaica,Green,Knuckles,658
Scott,Howe,18,England,Green,Ray,2182
Aydin,Reeves,13,England,Green,Ray,292
Hayden,Howe,22,Jamaica,Yellow,Metal Sonic,2539
Hayden,Moyer,23,Russia,Orange,Knuckles,375
Khalil,Madden,17,Jamaica,Green,Ray,710
Brennen,Hudson,15,Belgium,Red,Knuckles,2641
Jaydan,Mcclure,22,Belgium,Yellow,Ray,2945
Prince,French,20,Nigeria,Yellow,Sonic,2874
Cesar,Waller,14,Nigeria,Red,Tails,502
Eliezer,Bird,20,Nigeria,Red,Ray,1069
Bradley,Bird,24,Nigeria,Yellow,Tails,220
Prince,Moyer,17,Russia,Red,Ray,2831
Marcelo,Moyer,23,Nigeria,Red,Ray,438
Hayden,Bird,15,Belgium,Blue,Sonic,987
Cesar,French,21,England,Red,Tails,564
Brody,Waller,18,Nigeria,Blue,Tails,1478
Prince,Reeves,17,England,Blue,Sonic,249
Robert,Waller,13,Russia,Blue,Ray,1106
Jace,Chen,17,Nigeria,Yellow,Sonic,2424
Brody,Madden,20,Belgium,Red,Ray,2676
Jaydan,Mcclure,23,England,Yellow,Metal Sonic,2451
Bradley,Bird,17,Jamaica,Blue,Sonic,748
Jaydan,Reeves,16,Jamaica,Orange,Tails,2120
Khalil,Hudson,22,Nigeria,Blue,Tails,1673
Neil,Hudson,22,Russia,Orange,Metal Sonic,2124
Bruno,Reeves,19,England,Yellow,Tails,1759
Marcel,Madden,14,Russia,Green,Tails,2549
Quincy,Hudson,20,Nigeria,Green,Knuckles,10
Robert,Moyer,12,Russia,Green,Tails,50
Bradley,Howe,24,Jamaica,Red,Metal Sonic,1574
Bruno,Moyer,20,Jamaica,Red,Knuckles,2746
Jaydan,Hudson,12,Belgium,Red,Sonic,733
Scott,Madden,17,Jamaica,Red,Tails,2421
Bruno,Reeves,22,Russia,Green,Knuckles,1496
Brennen,Moyer,12,Belgium,Blue,Ray,1285
Khalil,Howe,17,England,Red,Sonic,2061
Scott,Howe,21,Russia,Green,Knuckles,1980
Eliezer,Hudson,24,Russia,Orange,Ray,765
Jace,Reeves,20,England,Green,Ray,1984
Brennen,French,11,Jamaica,Blue,Sonic,2709
Prince,Moyer,16,England,Green,Tails,767
Hayden,Waller,12,Belgium,Blue,Knuckles,2569
Khalil,Mcclure,16,Russia,Blue,Knuckles,2405
Bruno,French,12,Belgium,Yellow,Tails,2837
Cesar,Reeves,22,Russia,Blue,Tails,902
Bradley,Reeves,21,Nigeria,Orange,Metal Sonic,1272
Brennen,Reeves,22,Jamaica,Yellow,Knuckles,2036
Neil,Chen,20,Nigeria,Red,Ray,2821
Chaim,Reeves,15,England,Blue,Tails,756
Scott,Reeves,11,Jamaica,Red,Sonic,2560
Robert,Madden,19,England,Blue,Metal Sonic,995
Hayden,Waller,24,Nigeria,Red,Knuckles,1084
Jace,Chen,14,Belgium,Orange,Tails,1242
Jace,Waller,22,England,Green,Knuckles,1847
Scott,Bird,18,Jamaica,Red,Metal Sonic,852
Emmett,Moyer,13,Nigeria,Orange,Metal Sonic,2932
Neil,Hudson,12,Belgium,Green,Knuckles,694
Aydin,Hudson,17,Belgium,Red,Tails,2280
Brennen,Reeves,11,Nigeria,Orange,Sonic,1314
Neil,Mcclure,20,Belgium,Green,Metal Sonic,1681
Chaim,French,18,Russia,Green,Ray,139
Hayden,Mcclure,23,Nigeria,Red,Ray,1871
Aydin,Mcclure,23,Nigeria,Green,Ray,2196
Brody,Bird,13,Belgium,Red,Sonic,1447
Bradley,Madden,12,Nigeria,Blue,Knuckles,636
Prince,Chen,22,Nigeria,Green,Metal Sonic,1358
Jace,Bird,23,Russia,Red,Tails,854
Brennen,Moyer,21,England,Green,Tails,243
Marcelo,Howe,18,Belgium,Yellow,Tails,468
Emmett,Bird,18,Belgium,Yellow,Metal Sonic,505
Jace,French,18,England,Red,Metal Sonic,522
Bruno,Reeves,23,Belgium,Red,Tails,166
Neil,Howe,15,England,Red,Knuckles,2491
Jace,Waller,15,Russia,Green,Metal Sonic,308
Jaydan,Waller,14,England,Green,Tails,2038
Jace,French,15,Belgium,Yellow,Metal Sonic,1939
Brody,Bird,21,England,Green,Tails,2957
Prince,Hudson,12,Russia,Orange,Sonic,2022
Cesar,French,21,Jamaica,Blue,Ray,1038
Bruno,Howe,18,England,Blue,Knuckles,914
Jaydan,Bird,24,Jamaica,Blue,Knuckles,784
Cesar,Chen,22,England,Orange,Knuckles,2139
Eliezer,Howe,15,Jamaica,Red,Sonic,61
Prince,Madden,21,Belgium,Yellow,Sonic,1877
Hayden,Reeves,24,Jamaica,Yellow,Knuckles,2244
Brennen,Bird,23,England,Orange,Ray,458
Jace,Bird,22,Jamaica,Yellow,Sonic,1046
Hayden,Reeves,23,Nigeria,Yellow,Metal Sonic,1918
Brody,Bird,11,Russia,Yellow,Ray,727
Jaydan,French,23,Russia,Orange,Tails,1802
Aydin,Bird,19,Belgium,Orange,Sonic,930
Bradley,Madden,15,England,Green,Ray,1697
Marcel,Reeves,17,England,Blue,Sonic,2058
Aydin,Mcclure,17,England,Red,Ray,589
Marcel,Bird,22,Nigeria,Red,Ray,1990
Eliezer,Howe,18,Russia,Blue,Tails,997
Bruno,Chen,20,Nigeria,Green,Ray,1212
Khalil,Howe,21,Russia,Green,Metal Sonic,1736
Bruno,Moyer,23,England,Orange,Sonic,1167
Khalil,Mcclure,16,Russia,Orange,Knuckles,2349
Jaydan,Moyer,20,Russia,Orange,Metal Sonic,508
Brennen,Bird,17,Jamaica,Orange,Metal Sonic,1455
Bruno,Moyer,19,Nigeria,Red,Metal Sonic,1064
Emmett,Moyer,12,Belgium,Green,Ray,1499
Khalil,Bird,23,Russia,Blue,Metal Sonic,1710
Aydin,Waller,15,Russia,Orange,Knuckles,2124
Eliezer,Bird,19,England,Red,Ray,570
Bruno,Howe,11,England,Blue,Tails,1170
Quincy,Madden,12,Belgium,Yellow,Ray,2243
Jace,Mcclure,12,Jamaica,Red,Sonic,497
Emmett,Chen,24,Russia,Green,Knuckles,2419
Bradley,Chen,21,Belgium,Yellow,Sonic,1163
Emmett,Bird,20,Russia,Blue,Tails,1358
Hayden,Bird,20,Belgium,Orange,Tails,1459
Scott,Reeves,17,England,Yellow,Ray,119
Marcel,Bird,21,Jamaica,Red,Tails,2752
Brody,Howe,23,Nigeria,Red,Sonic,1227
Cesar,Hudson,14,Russia,Yellow,Metal Sonic,1329
Bruno,Howe,20,Belgium,Orange,Metal Sonic,2214
Prince,Moyer,23,Belgium,Orange,Knuckles,98
Bruno,Madden,15,Belgium,Orange,Metal Sonic,2766
Neil,Madden,11,Nigeria,Red,Sonic,835
Chaim,Moyer,17,Russia,Orange,Metal Sonic,2468
Eliezer,Hudson,19,Jamaica,Orange,Ray,126
Eliezer,Reeves,22,Jamaica,Green,Sonic,2524
Scott,French,15,England,Orange,Metal Sonic,2687
Aydin,Mcclure,20,England,Orange,Sonic,2086
Jace,Moyer,20,Nigeria,Red,Metal Sonic,680
Bruno,Moyer,16,Russia,Orange,Knuckles,718
Khalil,Howe,18,England,Red,Knuckles,2680
Jaydan,Hudson,19,Russia,Green,Knuckles,2943
Jaydan,Chen,16,Belgium,Red,Tails,1134
Jace,Mcclure,16,Jamaica,Yellow,Ray,858
Neil,Waller,15,Nigeria,Yellow,Tails,1572
Marcel,French,11,Nigeria,Blue,Knuckles,1236
Bradley,French,12,Russia,Yellow,Metal Sonic,1690
Scott,Reeves,14,Nigeria,Green,Sonic,31
Aydin,Bird,17,England,Yellow,Tails,784
Neil,Mcclure,24,Jamaica,Green,Metal Sonic,873
Bruno,Reeves,24,Nigeria,Blue,Sonic,2144
Brody,Howe,12,Nigeria,Red,Sonic,1894
Brennen,Chen,24,England,Blue,Metal Sonic,2881
Brennen,Moyer,22,Russia,Green,Tails,2975
Scott,Bird,21,Russia,Yellow,Metal Sonic,1793
Robert,Reeves,18,Jamaica,Yellow,Knuckles,2365
Bruno,Bird,14,Nigeria,Green,Tails,2803
Hayden,Chen,21,Jamaica,Green,Tails,724
Eliezer,Howe,19,England,Green,Ray,129
Emmett,Howe,17,England,Blue,Tails,1826
Jace,Bird,18,Belgium,Yellow,Tails,1238
Bradley,Bird,21,Jamaica,Blue,Metal Sonic,698
Eliezer,Waller,17,England,Orange,Knuckles,2572
Brennen,French,23,Jamaica,Red,Sonic,2761
Scott,Bird,14,Russia,Red,Sonic,2398
Khalil,Mcclure,14,Russia,Blue,Metal Sonic,2006
Jaydan,Waller,15,Nigeria,Green,Tails,2636
Quincy,Moyer,16,Nigeria,Yellow,Sonic,1583
Hayden,Moyer,11,Jamaica,Yellow,Metal Sonic,1685
Bruno,Hudson,22,Nigeria,Red,Metal Sonic,2495
Jace,Waller,24,Jamaica,Green,Metal Sonic,1246
Robert,Moyer,13,Nigeria,Yellow,Knuckles,1228
Khalil,Howe,11,Jamaica,Blue,Metal Sonic,2504
Jaydan,Reeves,21,Belgium,Blue,Metal Sonic,455
Hayden,Reeves,17,England,Green,Sonic,817
Jaydan,Moyer,23,Jamaica,Orange,Metal Sonic,294
Bruno,Madden,20,Nigeria,Red,Ray,2031
Eliezer,Bird,14,England,Red,Tails,2545
Brennen,Reeves,20,Jamaica,Orange,Tails,647
Khalil,Chen,19,Belgium,Red,Knuckles,1897
Hayden,Bird,16,Jamaica,Red,Sonic,2320
Marcel,Chen,19,Nigeria,Yellow,Sonic,1989
Brennen,Howe,13,Jamaica,Blue,Ray,1268
Jaydan,Madden,17,England,Green,Metal Sonic,2309
Marcel,Reeves,16,Russia,Orange,Sonic,2754
Quincy,Howe,14,Nigeria,Blue,Ray,643
Jace,Howe,18,England,Blue,Knuckles,2883
Prince,Chen,16,Jamaica,Green,Sonic,2400
Bruno,French,22,England,Green,Knuckles,2038
Khalil,Chen,22,Belgium,Orange,Metal Sonic,2927
Eliezer,Chen,14,Nigeria,Blue,Knuckles,1926
Emmett,Chen,23,England,Yellow,Sonic,683
Eliezer,Reeves,16,Jamaica,Yellow,Ray,2068
Hayden,Madden,11,Russia,Red,Tails,1344
Brody,Waller,24,Russia,Green,Sonic,2032
Marcel,Hudson,21,Russia,Green,Ray,2598
Hayden,Mcclure,11,Jamaica,Red,Metal Sonic,1888
Robert,Mcclure,15,Belgium,Red,Sonic,127
Jace,Mcclure,22,England,Yellow,Tails,2336
Quincy,Chen,16,Jamaica,Orange,Ray,1598
Eliezer,Reeves,11,England,Blue,Tails,919
Chaim,Waller,19,Nigeria,Yellow,Ray,2766
Khalil,Madden,13,Nigeria,Blue,Sonic,540
Bradley,Moyer,18,Jamaica,Green,Ray,263
Quincy,Bird,22,England,Red,Tails,2812
Bradley,Moyer,12,Belgium,Green,Ray,1523
Cesar,Moyer,14,Russia,Yellow,Tails,1509
Brody,Moyer,20,Russia,Green,Ray,1386
Neil,Chen,18,Russia,Orange,Metal Sonic,1766
Jaydan,Moyer,11,Belgium,Yellow,Ray,1313
Quincy,Chen,18,Jamaica,Orange,Sonic,167
Hayden,Reeves,23,Belgium,Green,Metal Sonic,1232
Jaydan,Mcclure,21,Belgium,Orange,Metal Sonic,589
Chaim,Moyer,16,Nigeria,Orange,Tails,646
Robert,Waller,16,Belgium,Blue,Sonic,1129
Aydin,Hudson,13,Jamaica,Red,Metal Sonic,2230
Hayden,Waller,16,Belgium,Orange,Sonic,414
Prince,Howe,16,Russia,Green,Knuckles,467
Chaim,Waller,19,Nigeria,Blue,Ray,1849
Jaydan,French,15,Russia,Yellow,Knuckles,674
